article_id,visibility,sphere,article_format,title,summary,target_audience,difficulty_level,estimated_read_minutes,primary_skill,related_skills,author_name,article_status,tags,last_activity_days_ago
#AR00001,Приватный,GameDev,health game analysis,Игровая реабилитация после травм: где геймификация действительно лечит,"Статья разбирает, как мотивация, обратная связь и отслеживание прогресса могут усилить терапию без превращения ее в аттракцион.","healthtech builders, gamedev teams, therapists",intermediate,8,GameDev,GameDev | Mobile | AI / ML,Максим Макаров,review,rehab | health-gaming | motion,5
#AR00002,Публичный,Security,governance article,"Privilege drift в SaaS: почему доступы опаснее, чем кажутся","Статья о накоплении лишних прав, токсичных сочетаниях ролей и сигналах, которые команды обычно не замечают.","security teams, SaaS admins, DevOps engineers",intermediate,8,Security,Security | DevOps | Data Science,Роман Соколова,draft,access-control | governance | saas-security,29
#AR00003,Публичный,Security,identity article,Passkeys для реального бизнеса: что мешает passwordless стать нормой,Материал о технических и организационных барьерах при переходе на phishing-resistant аутентификацию.,"security teams, IAM engineers, product leads",intermediate,15,Security,Security | Backend | Mobile,Арсений Захаров,review,passkeys | identity | authentication,20
#AR00004,Публичный,Mobile,creator economy article,"Фрилансеру нужен sidekick, а не бухгалтерия в кармане","Статья о мобильных финансовых продуктах, которые говорят с креаторами простым языком и помогают переживать неровный доход.","creator economy startups, mobile teams, fintech PMs",beginner,10,Mobile,Mobile | Data Science | Backend,Юлия Морозов,published,freelance | fintech | creator-economy,8
#AR00005,Публичный,Backend,engineering opinion,"Когда event-driven архитектура действительно проще, а когда нет",Материал помогает отличить полезную событийность от преждевременного усложнения инфраструктуры и процессов.,"backend engineers, tech leads, startup CTOs",intermediate,6,Backend,Backend | DevOps | Frontend,Тимур Смирнов,review,event-driven | architecture | complexity,27
#AR00006,Публичный,Data Science,impact analytics guide,Как НКО принимать решения о распределении помощи с опорой на данные,"Материал о моделях срочности, ограничениях доноров и прозрачности распределения в благотворительных фондах.","nonprofits, data analysts, ops teams",intermediate,10,Data Science,Data Science | Backend | Security,Полина Федорова,review,nonprofit | optimization | impact,8
#AR00007,Публичный,Backend,system design,Workflow engine для длинных согласований: когда state machine окупается,"Материал помогает понять, когда сложные маршруты согласований стоит выносить в отдельный backend-движок.","backend engineers, product owners, enterprise architects",intermediate,6,Backend,Backend | Frontend | Security,Алексей Федорова,published,workflow | state-machine | enterprise,12
#AR00008,Публичный,UX/UI Design,applied research,"Киосковый UX: что меняется, когда интерфейсом пользуются стоя и в спешке","Разбор публичных терминалов и зон самообслуживания с точки зрения моторики, стресса, приватности и скорости сценариев.","UX researchers, service designers, public tech teams",beginner,6,UX/UI Design,UX/UI Design | Frontend | Security,Дарья Захаров,published,kiosk | public-service | human-factors,10
#AR00009,Публичный,Frontend,frontend analysis,Collaborative dashboards: почему графикам мало просто обновляться,"Разбор новых аналитических интерфейсов, где ценность создают комментарии, совместное чтение и принятие решений в контексте данных.","frontend engineers, product designers, analytics teams",beginner,8,Frontend,Frontend | UX/UI Design | Data Science,Екатерина Жукова,review,dashboard | collaboration | analytics,6
#AR00010,Публичный,AI / ML,practical explainer,Retail computer vision без иллюзий: когда фото полок реально окупаются,"Разбор бизнес-условий, при которых компьютерное зрение для мерчендайзинга даёт не демо-эффект, а реальную экономику.","ML engineers, retail analysts, product managers",intermediate,15,AI / ML,AI / ML | Data Science | Mobile,Алексей Васильев,published,computer-vision | retail | roi,23
#AR00011,Приватный,GameDev,systems game article,Стратегии про устойчивый город: как объяснять системное мышление через игру,"Материал о стратегиях, где энергия, отходы, бюджет и доверие жителей становятся частью одного игрового баланса.","gamedev designers, civic educators, simulation teams",intermediate,15,GameDev,GameDev | Data Science | Frontend,Юлия Макаров,draft,city-builder | sustainability | systems-thinking,19
#AR00012,Публичный,UX/UI Design,case breakdown,Accessibility-first онбординг для SaaS: где чаще всего теряют людей,"Статья показывает, как ошибки в первом опыте пользователя влияют на активацию, доверие и возврат в продукт.","UX/UI designers, growth-команды, founders",intermediate,12,UX/UI Design,UX/UI Design | Frontend | Data Science,Татьяна Степанова,published,onboarding | saas | ux-research,12
#AR00013,Приватный,GameDev,learning game essay,Языковые игры с социальным циклом: почему сценарии сильнее карточек,"Статья о том, как ролевые микро-сцены и командные задачи усиливают изучение языка через действие.","gamedev teams, language product teams, mobile founders",beginner,15,GameDev,GameDev | Mobile | AI / ML,Вероника Жукова,published,language-learning | social-game | motivation,22
#AR00014,Публичный,Data Science,decision science article,Симуляторы тарифов для парковок и транспорта: продукт на стыке данных и политики,"Текст о том, как аналитические симуляторы помогают тестировать правила до внедрения и спорить предметно.","urban tech teams, analysts, civic product managers",intermediate,10,Data Science,Data Science | Frontend | Backend,Арсений Новиков,published,simulation | pricing | urban-tech,10
#AR00015,Публичный,Mobile,startup article,Паспорт здоровья питомца как новый тип everyday utility app,"Материал о том, почему pet care apps становятся сильнее, когда решают рутину, а не только продают услуги.","mobile founders, pettech teams, UX designers",intermediate,10,Mobile,Mobile | Backend | UX/UI Design,София Орлова,published,pet-care | records | utility-app,24
#AR00016,Публичный,Security,security strategy article,Deepfake-документы и доверие к операциям: новая головная боль B2B-сервисов,"Материал о том, как компании пересматривают проверку подлинности запросов и документов в эпоху синтетического контента.","security architects, legaltech founders, compliance teams",intermediate,10,Security,Security | AI / ML | Backend,Михаил Козлова,published,deepfake | document-security | trust,12
