card_id,card_type,title,short_description,full_description,topics,skills_required,skills_gained,news_category,format,language,location,published_at,updated_at,freshness_timestamp,source_name,source_type,author_name,estimated_read_time_minutes,quality_score,popularity_score,editorial_priority,source_authority,topic_urgency,actionability_relevance,recency_score,breaking_score,novelty_score,integrity_score,status,embedding_vector
news_0000,news,How the new Policy rule changes the field,"Lab Chronicle covers policy, research, science for students who want personally relevant, current news.","How the new Policy rule changes the field focuses on policy, research, science and explains why the update matters now. It is written for students who bring critical_thinking, data_literacy and can deepen design_thinking, react while staying current on fast-moving developments.",policy|research|science,critical_thinking|data_literacy,design_thinking|react,policy_watch,briefing,es,EU,2026-03-22T07:14:15.871585,2026-03-22T12:00:00,2026-03-22T12:00:00,Lab Chronicle,research_lab,Policy Desk,9,0.7504,0.9324,0.8436,0.97,0.743,0.7479,0.989,0.6925,0.6731,0.9062,active,"[0.6156,-0.0812,0.2113,-0.0468,-0.1531,-0.4003,0.0886,-0.4391,-0.1207,0.3824,-0.1216,0.0877]"
news_0001,news,What changed in Policy in the last 24 hours,"Startup Signal covers policy for students who want personally relevant, current news.",What changed in Policy in the last 24 hours focuses on policy and explains why the update matters now. It is written for students who bring critical_thinking and can deepen public_speaking while staying current on fast-moving developments.,policy,critical_thinking,public_speaking,breaking,newsletter,en,EU,2026-03-22T06:45:42.486070,2026-03-22T09:05:50.023073,2026-03-22T09:05:50.023073,Startup Signal,industry_media,Policy Desk,7,0.8457,0.9848,0.7183,0.88,0.9422,0.6588,0.8716,1.0,0.7558,0.8292,active,"[0.2556,-0.2267,0.0751,0.0436,-0.4361,0.1223,0.6456,0.0402,0.3131,0.1345,0.2662,-0.2553]"
news_0002,news,Design update every student should see today,"TechWire covers design, science for students who want personally relevant, current news.","Design update every student should see today focuses on design, science and explains why the update matters now. It is written for students who bring public_speaking, python and can deepen critical_thinking, figma while staying current on fast-moving developments.",design|science,public_speaking|python,critical_thinking|figma,breaking,briefing,en,EU,2026-03-16T20:35:32.671234,2026-03-17T00:07:25.027318,2026-03-17T00:07:25.027318,TechWire,newsroom,Design Desk,8,0.8063,0.2981,0.4692,0.93,0.3444,0.6159,0.0123,0.5623,0.7349,0.9207,hidden,"[-0.167,0.0279,0.3331,0.3081,-0.6102,0.0688,0.1371,-0.017,-0.438,0.1541,0.3918,0.0105]"
news_0003,news,What changed in Robotics in the last 24 hours,"Global Science Desk covers robotics, web for students who want personally relevant, current news.","What changed in Robotics in the last 24 hours focuses on robotics, web and explains why the update matters now. It is written for students who bring javascript, python, react and can deepen git, leadership while staying current on fast-moving developments.",robotics|web,javascript|python|react,git|leadership,breaking,newsletter,en,EU,2026-03-21T07:04:08.070344,2026-03-21T16:48:41.633007,2026-03-21T16:48:41.633007,Global Science Desk,science_media,Robotics Desk,2,0.8527,0.7239,0.5517,0.96,0.4727,0.4932,0.472,1.0,0.8724,0.8363,active,"[0.377,0.3351,0.0618,0.3049,-0.2588,-0.4789,-0.3756,-0.1078,-0.2538,0.0877,-0.0025,-0.3572]"
news_0004,news,Policy moves that create student openings,"Campus Pulse covers policy for students who want personally relevant, current news.","Policy moves that create student openings focuses on policy and explains why the update matters now. It is written for students who bring critical_thinking, data_literacy, public_speaking and can deepen javascript, prompt_engineering while staying current on fast-moving developments.",policy,critical_thinking|data_literacy|public_speaking,javascript|prompt_engineering,student_opportunity,explainer,en,US,2026-03-21T21:53:23.943212,2026-03-22T03:33:44.929555,2026-03-22T03:33:44.929555,Campus Pulse,student_media,Policy Desk,6,0.7633,0.58,0.73,0.76,0.8873,0.7826,0.7495,0.2599,0.7216,0.7275,active,"[0.4137,-0.1921,-0.1091,-0.0347,-0.5679,-0.0352,0.3744,-0.0663,0.3277,0.4007,0.0945,-0.1833]"
news_0005,news,Where Climate momentum is moving this week,"Startup Signal covers climate, cybersecurity, science for students who want personally relevant, current news.","Where Climate momentum is moving this week focuses on climate, cybersecurity, science and explains why the update matters now. It is written for students who bring critical_thinking, sql and can deepen data_literacy, public_speaking while staying current on fast-moving developments.",climate|cybersecurity|science,critical_thinking|sql,data_literacy|public_speaking,market_map,briefing,en,LATAM,2026-03-20T10:44:37.559969,2026-03-20T18:16:34.709709,2026-03-20T18:16:34.709709,Startup Signal,industry_media,Climate Desk,12,0.7415,0.4386,0.6306,0.88,0.5728,0.7211,0.2352,0.157,0.4463,0.8393,active,"[0.2792,-0.3998,0.5165,0.1003,-0.3638,-0.1189,-0.338,-0.2342,0.1186,0.3772,0.0617,0.0985]"
news_0006,news,Robotics product release with immediate implications,"Policy Radar covers robotics for students who want personally relevant, current news.",Robotics product release with immediate implications focuses on robotics and explains why the update matters now. It is written for students who bring machine_learning and can deepen javascript while staying current on fast-moving developments.,robotics,machine_learning,javascript,product_launch,analysis,en,APAC,2026-03-21T05:13:06.898418,2026-03-21T11:46:16.224776,2026-03-21T11:46:16.224776,Policy Radar,government_watch,Robotics Desk,13,0.753,0.5782,0.6488,0.95,0.4593,0.9365,0.4241,0.1948,0.6666,0.9365,active,"[-0.0831,-0.1443,-0.0453,0.0716,-0.3026,-0.6172,-0.5458,0.0638,0.2394,0.2914,-0.2134,0.0532]"
news_0007,news,Fresh Mobile regulation update explained,"Campus Pulse covers mobile, policy for students who want personally relevant, current news.","Fresh Mobile regulation update explained focuses on mobile, policy and explains why the update matters now. It is written for students who bring critical_thinking, javascript and can deepen machine_learning while staying current on fast-moving developments.",mobile|policy,critical_thinking|javascript,machine_learning,policy_watch,explainer,en,LATAM,2026-03-22T00:01:03.992598,2026-03-22T05:16:59.067429,2026-03-22T05:16:59.067429,Campus Pulse,student_media,Mobile Desk,2,0.6825,0.8616,0.7358,0.76,0.732,0.8467,0.7859,0.6012,0.8025,0.7344,active,"[0.4866,-0.1861,-0.0742,0.1917,-0.4684,-0.1236,0.1045,-0.206,0.3459,0.4915,-0.1926,0.0051]"
news_0008,news,New Ai launch worth your attention,"Campus Pulse covers ai, climate, policy for students who want personally relevant, current news.","New Ai launch worth your attention focuses on ai, climate, policy and explains why the update matters now. It is written for students who bring data_literacy and can deepen javascript while staying current on fast-moving developments.",ai|climate|policy,data_literacy,javascript,product_launch,newsletter,en,APAC,2026-03-20T06:42:38.576834,2026-03-20T10:24:20.653400,2026-03-20T10:24:20.653400,Campus Pulse,student_media,Ai Desk,4,0.7723,0.5657,0.7484,0.76,0.6297,0.8379,0.1771,0.1454,0.7762,0.8077,hidden,"[0.3745,-0.3286,0.2107,0.0859,-0.0807,-0.2291,-0.1145,-0.1241,0.2135,0.2464,-0.652,0.2848]"
news_0009,news,Cybersecurity opportunity roundup for active students,"Campus Pulse covers cybersecurity, design, web for students who want personally relevant, current news.","Cybersecurity opportunity roundup for active students focuses on cybersecurity, design, web and explains why the update matters now. It is written for students who bring critical_thinking, public_speaking, python and can deepen figma, react while staying current on fast-moving developments.",cybersecurity|design|web,critical_thinking|public_speaking|python,figma|react,student_opportunity,briefing,en,Global,2026-03-21T14:28:32.584817,2026-03-21T17:20:27.020586,2026-03-21T17:20:27.020586,Campus Pulse,student_media,Cybersecurity Desk,4,0.704,0.7983,0.629,0.76,0.5886,0.7067,0.5295,0.2159,0.7235,0.7449,active,"[0.4447,0.202,0.2068,0.3094,-0.3552,0.1328,0.287,-0.2107,-0.1719,-0.08,0.4001,-0.3954]"
