id,kind,title,subtitle,image_url,link_url,topics,skills,sort_order
hackathon,promo,Хакатон 2026,Погружение в ML + Frontend,/img/poster-hackathon.jpg,https://example.com/hackathon,,,0
web3,promo,Web3 Design,Интенсив по продукту,/img/poster-web3.jpg,https://example.com/web3-design,,,1
tech-conf,promo,Tech Conference,Frontend engineering,/img/poster-tech-conf.jpg,https://example.com/tech-conference,,,2
tech-talk,promo,Tech Talk,Современный стек разработчика,/img/poster-tech-talk.jpg,https://example.com/tech-talk,,,3
proj_TF00001,project,Кокпит авто-ремедиации инцидентов по SLO и runbook-сценариям,"Сервис отслеживает деградацию, предлагает сценарий реагирования и умеет безопасно запускать автоматические действия.",/img/poster-120-1.jpg,/#/projects,,,4
proj_TF00002,project,Аналитик стратегий состава для любительских киберспортивных команд,"Инструмент оценивает совместимость игроков, пики карт, стиль игры и помогает собирать более устойчивый состав.",/img/poster-120-1.jpg,/#/projects,,,5
proj_TF00003,project,Налоговый sidekick для фрилансеров и креаторов,"Мобильный помощник следит за доходами, резервами под налоги, кассовыми провалами и напоминает о рисковых месяцах.",/img/poster-120-1.jpg,/#/projects,,,6
proj_TF00004,project,UGC-песочница для интерактивных музейных историй,"Конструктор, в котором музеи и кураторы сами собирают игровые маршруты, квесты и мини-экспозиции.",/img/poster-120-1.jpg,/#/projects,,,7
proj_TF00005,project,Генератор compliance-evidence из CI/CD и инфраструктуры,"Сервис автоматически собирает следы изменений, политики и артефакты, нужные для аудита и клиентов.",/img/poster-120-1.jpg,/#/projects,,,8
proj_TF00006,project,Оркестратор репетиций disaster recovery и failover-проверок,"Инструмент для плановых тренировок аварийных сценариев, фиксации результатов и доказательства готовности платформы.",/img/poster-120-1.jpg,/#/projects,,,9
proj_TF00007,project,"API-маршрутизатор документов между CRM, ЭДО и архивом","Сервис маршрутизирует документы, проверяет статус, ведет журнал и снимает боль от разрозненных систем.",/img/poster-120-1.jpg,/#/projects,,,10
proj_TF00008,project,Асинхронная доска ревью контента и медиа-материалов,"Продукт для редакторов, маркетинга и продакшна, где правки, версии и тайм-коды живут в одном интерфейсе.",/img/poster-120-1.jpg,/#/projects,,,11
proj_TF00009,project,Верификатор подлинности документов и deepfake-запросов,"Система проверяет происхождение документов, сигнатуры, контекст запроса и признаки манипуляции контентом.",/img/poster-120-1.jpg,/#/projects,,,12
proj_TF00010,project,Событийная шина согласований для компаний с длинными процессами,"Backend-система, которая проводит заявки через многоэтапные проверки, маршруты эскалации и таймеры SLA.",/img/poster-120-1.jpg,/#/projects,,,13
proj_TF00011,project,Симулятор динамического ценообразования для парковок,"Платформа моделирует тарифы, загруженность зон и поведение водителей перед запуском новых правил.",/img/poster-120-1.jpg,/#/projects,,,14
proj_TF00012,project,AI-разборщик юридических договоров с объяснением риска,"Система выделяет спорные пункты, несоответствия шаблону и объясняет риск понятным языком для бизнеса.",/img/poster-120-1.jpg,/#/projects,,,15
proj_TF00013,project,Набор кризисных UI-режимов для диспетчерских и штабов,"Система специальных режимов отображения для инцидентов, перегрузки, перебоев связи и ночной работы.",/img/poster-120-1.jpg,/#/projects,,,16
proj_TF00014,project,Предиктивный мониторинг аномалий в энергопотреблении зданий,"Платформа замечает нетипичные скачки расхода, прогнозирует перегрузку и подсказывает возможные причины.",/img/poster-120-1.jpg,/#/projects,,,17
proj_TF00015,project,Социальная игра-квест для изучения языка через микро-сцены,"Игроки проходят короткие бытовые и профессиональные сцены, где язык изучается через действия, а не карточки.",/img/poster-120-1.jpg,/#/projects,,,18
proj_TF00016,project,Тайкун устойчивого города с реальными ограничениями ресурсов,"Стратегия, где игроки балансируют энергию, отходы, транспорт, бюджет и общественное доверие.",/img/poster-120-1.jpg,/#/projects,,,19
proj_TF00017,project,Компаньон для семьи и сиделок при уходе за пожилыми людьми,"Мобильный продукт объединяет напоминания, настроение, визиты, журнал самочувствия и координацию между близкими.",/img/poster-120-1.jpg,/#/projects,,,20
proj_TF00018,project,Прогнозатор спроса для спасения остатков еды,"Модель оценивает, где и когда появятся излишки еды, чтобы заранее направить скидки, донаты или логистику перераспределения.",/img/poster-120-1.jpg,/#/projects,,,21
proj_TF00019,project,Passkey-first платформа идентификации для команд и клиентов,"Сервис переводит бизнес на passwordless-аутентификацию с управлением устройствами, сессиями и политиками доверия.",/img/poster-120-1.jpg,/#/projects,,,22
proj_TF00020,project,Ранняя диагностика риска отчисления в онлайн-школах,"Платформа предсказывает, кто выпадет из обучения, и подсказывает персональные меры удержания.",/img/poster-120-1.jpg,/#/projects,,,23
proj_TF00021,project,Адаптивный интерфейс для пользователей с разными сценариями доступности,"Сервис, который подстраивает плотность, контраст, навигацию и подачу контента под состояние пользователя в реальном времени.",/img/poster-120-1.jpg,/#/projects,,,24
proj_TF00022,project,Internal Developer Platform с золотыми путями запуска сервисов,"Платформа даёт шаблоны сервисов, self-service деплой, каталоги владения и стандартные политики без ручной возни с инфраструктурой.",/img/poster-120-1.jpg,/#/projects,,,25
proj_TF00023,project,Соседская сеть для обмена инструментами и локальной взаимопомощи,"Приложение позволяет соседям проверенно делиться вещами, находить локальные услуги и снижать бытовые расходы.",/img/poster-120-1.jpg,/#/projects,,,26
proj_TF00024,project,Агент координации поставок для малого производства,"Интеллектуальный агент, который собирает сигналы от склада, закупок, продаж и логистики и предлагает безопасные решения по запасам.",/img/poster-120-1.jpg,/#/projects,,,27
proj_TF00025,project,Кооперативный симулятор отражения кибератак для обучения команд,"Игра, где команда учится реагировать на фишинг, lateral movement и кризисные коммуникации под давлением времени.",/img/poster-120-1.jpg,/#/projects,,,28
proj_TF00026,project,Коллаборативный dashboard для штабов и war-room команд,"Веб-интерфейс с живыми метриками, комментариями, задачами и режимом совместного принятия решений.",/img/poster-120-1.jpg,/#/projects,,,29
proj_TF00027,project,"Хаб вебхуков с replay, подписями и дедупликацией событий","Инфраструктурный сервис для безопасного приема, проверки, хранения и повторного воспроизведения внешних событий.",/img/poster-120-1.jpg,/#/projects,,,30
proj_TF00028,project,Интерфейс для выездных сотрудников без когнитивной перегрузки,"Приложение для мастеров, курьеров и техников, где основной упор сделан на одношаговые сценарии, крупные зоны взаимодействия и устойчивость к стрессу.",/img/poster-120-1.jpg,/#/projects,,,31
proj_TF00029,project,Анти-туристическое мобильное приложение с тихими маршрутами,"Приложение предлагает не самые раскрученные места города, спокойные часы посещения и локальные сценарии без туристической перегрузки.",/img/poster-120-1.jpg,/#/projects,,,32
proj_TF00030,project,Infinite-canvas конструктор аналитических виджетов,"Интерфейс, где пользователь собирает рабочую область из интерактивных виджетов и сценариев без долгой настройки.",/img/poster-120-1.jpg,/#/projects,,,33
proj_TF00031,project,Движок автоматического разворачивания новых tenant-пространств,"Платформа, которая создает новые рабочие пространства, права доступа, ключи и интеграции за минуты, а не вручную.",/img/poster-120-1.jpg,/#/projects,,,34
proj_TF00032,project,Браузерный слой QA-проверки поверх продакшн-интерфейсов,"Сервис накладывает поверх сайта режим дизайн-проверки, accessibility-подсказки и чек-листы перед релизом.",/img/poster-120-1.jpg,/#/projects,,,35
proj_TF00033,project,Игровой rehab-тренер для восстановления движений после травм,"Продукт превращает повторяющиеся упражнения в игровые циклы с прогрессом, мотивацией и обратной связью.",/img/poster-120-1.jpg,/#/projects,,,36
proj_TF00034,project,Оптимизатор распределения пожертвований для фондов,"Система помогает НКО распределять бюджет между программами с учетом срочности, эффекта и ограничений доноров.",/img/poster-120-1.jpg,/#/projects,,,37
proj_TF00035,project,Голосовой AI-координатор для первичного приема в клиниках,"Голосовой агент, который принимает обращения, уточняет симптомы, распределяет запросы и снижает нагрузку на регистратуру.",/img/poster-120-1.jpg,/#/projects,,,38
proj_TF00036,project,Дизайн-система с governance для распределенных команд,"Платформа с токенами, аудитом компонентов, контролем расхождений и сценариями миграции между брендами.",/img/poster-120-1.jpg,/#/projects,,,39
proj_TF00037,project,Паспорт здоровья питомца в кармане,"Приложение хранит вакцинации, анализы, историю посещений, напоминания и быстрый доступ к данным питомца.",/img/poster-120-1.jpg,/#/projects,,,40
proj_TF00038,project,AI-наставник по индивидуальной траектории обучения,"Ассистент, который подбирает задания, темп и формат обратной связи под реальный прогресс студента.",/img/poster-120-1.jpg,/#/projects,,,41
proj_TF00039,project,Мост синхронизации между legacy-системой и современным SaaS,"Промежуточный слой, который безопасно синхронизирует статусы, пользователей и справочники между старыми и новыми системами.",/img/poster-120-1.jpg,/#/projects,,,42
proj_TF00040,project,Компьютерное зрение для аудита полок и выкладки,"Сервис, который по фото и видео оценивает наличие товара, нарушения планограммы и пустые места на полке.",/img/poster-120-1.jpg,/#/projects,,,43
proj_TF00041,project,Онбординг-студия для сложных B2B-продуктов,"Инструмент для проектирования и тестирования адаптивного онбординга с микроподсказками, прогрессией и сценариями ошибок.",/img/poster-120-1.jpg,/#/projects,,,44
proj_TF00042,project,Граф доверия для IoT-устройств и периферийных сервисов,"Платформа визуализирует отношения между устройствами, сертификатами, прошивками и реальным поведением в сети.",/img/poster-120-1.jpg,/#/projects,,,45
proj_TF00043,project,Control plane для ротации секретов и сервисных ключей,"Платформа централизует секреты, контролирует срок жизни ключей и автоматизирует безопасную замену без ручных ночных операций.",/img/poster-120-1.jpg,/#/projects,,,46
proj_TF00044,project,Тренажер логистического склада с живыми сценариями перегруза,"Игровой симулятор обучает новичков управлению потоками, приоритетами, очередями и аварийными узкими местами.",/img/poster-120-1.jpg,/#/projects,,,47
proj_TF00045,project,Система honeytoken-наблюдения за приватными data room,"Решение размещает ловушки, отслеживает подозрительные действия в закрытых хранилищах и помогает быстрее расследовать утечки.",/img/poster-120-1.jpg,/#/projects,,,48
proj_TF00046,project,FinOps-гейт перед релизом новых фич и окружений,Платформа оценивает стоимость инфраструктурных изменений до релиза и блокирует опасные по бюджету сценарии.,/img/poster-120-1.jpg,/#/projects,,,49
proj_TF00047,project,Маркетплейс спасения остатков еды возле дома,"Мобильная платформа показывает ближайшие точки с едой, которую можно забрать дешевле или бесплатно до закрытия.",/img/poster-120-1.jpg,/#/projects,,,50
proj_TF00048,project,Интерактивная карта сервисных зон для логистики и field teams,"Веб-продукт с картой зон, маршрутами, конфликтами покрытия и живой загрузкой команд по районам.",/img/poster-120-1.jpg,/#/projects,,,51
proj_TF00049,project,Монитор дрейфа привилегий в SaaS и cloud-среде,"Инструмент показывает, где права расширились незаметно, где доступ остался после увольнения и где роль стала опаснее со временем.",/img/poster-120-1.jpg,/#/projects,,,52
proj_TF00050,project,Консоль обнаружения AiTM-фишинга и кражи сессий,"Платформа ловит признаки adversary-in-the-middle атак, подозрительные прокси и аномалии повторного использования токенов.",/img/poster-120-1.jpg,/#/projects,,,53
proj_TF00051,project,Киосковый интерфейс для клиник и госуслуг,"Набор сценариев самообслуживания для терминалов с понятной навигацией, мультиязычностью и защитой от ошибок ввода.",/img/poster-120-1.jpg,/#/projects,,,54
proj_TF00052,project,Ledger-аудит для действий сотрудников и внешних интеграций,"Backend для построения неизменяемого журнала событий с удобным поиском, фильтрами и выдачей доказательной базы.",/img/poster-120-1.jpg,/#/projects,,,55
proj_TF00053,project,Рабочее пространство для анализа A/B-экспериментов,"Интерфейс, где продуктовые команды вместе читают эксперименты, добавляют выводы и фиксируют решение по запуску.",/img/poster-120-1.jpg,/#/projects,,,56
proj_TF00054,project,ML-прогноз нагрузки для локальных энергосетей и микрогридов,"Система прогнозирует пики спроса, выявляет слабые зоны и помогает безопаснее распределять нагрузку.",/img/poster-120-1.jpg,/#/projects,,,57
course_CR00001,course,Webhook Reliability Engineering,"Курс по проектированию надежной webhook-платформы с replay, идемпотентностью и проверкой подписей. · 24 ч",/img/course-image.png,/#/library,,,58
course_CR00002,course,Collaborative Analytics Interfaces,"Курс по созданию дашбордов, где команды не только смотрят графики, но и вместе принимают решения. · 16 ч",/img/course-image.png,/#/library,,,59
