course_id,visibility,sphere,course_format,title,short_description,learning_outcomes,difficulty_level,duration_hours,modules_count,lessons_count,practice_format,mentor_name,primary_skill,related_skills,course_status,certificate,last_activity_days_ago
#CR00001,Приватный,Backend,engineering intensive,Webhook Reliability Engineering,"Курс по проектированию надежной webhook-платформы с replay, идемпотентностью и проверкой подписей.","Разберешь прием событий, retries, deduplication и расследование падений в интеграциях.",intermediate,24,7,21,event ingestion labs,Глеб Морозов,Backend,Backend | Security | DevOps,updating,yes,16
#CR00002,Приватный,Frontend,frontend lab,Collaborative Analytics Interfaces,"Курс по созданию дашбордов, где команды не только смотрят графики, но и вместе принимают решения.","Разберешь presence, comments, shared state и UX-паттерны коллективной работы с метриками.",advanced,16,10,60,real-time collaboration builds,Арсений Соколова,Frontend,Frontend | UX/UI Design | Data Science,recording,no,10
#CR00003,Публичный,UX/UI Design,micro-course,Public Service Kiosk UX,"Короткий курс по интерфейсам терминалов, зон самообслуживания и public-facing сервисов.","Поймешь, как учитывать очередь, приватность, мультиязычность и низкую цифровую уверенность пользователей.",beginner,12,5,25,scenario mapping and prototype testing,Полина Захаров,UX/UI Design,UX/UI Design | Frontend | Security,updating,yes,1
#CR00004,Приватный,AI / ML,cohort course,Computer Vision for Retail Ops,"Практика по CV-моделям для контроля полок, выкладки и фото-аудита магазинов.",Сможешь построить pipeline от сбора изображений до продуктовой метрики и операционного действия в ритейле.,advanced,8,7,42,image labeling and store audit projects,Дарья Павлова,AI / ML,AI / ML | Data Science | Mobile,published,yes,12
#CR00005,Приватный,GameDev,health game lab,Rehab Games and Motion Feedback,Курс о реабилитационных игровых продуктах с отслеживанием движений и мотивацией пациента.,"Разберешь, как соединять motion-feedback, прогрессию и терапевтические ограничения без вредной геймификации.",beginner,20,5,25,health gameplay prototype labs,Мария Смирнов,GameDev,GameDev | Mobile | AI / ML,published,yes,20
#CR00006,Публичный,AI / ML,product course,AI Tutors for Learning Platforms,"Курс по персонализации обучения, AI-подсказкам и траекториям развития в EdTech.","Сможешь собирать образовательные AI-сценарии так, чтобы они усиливали методологию, а не подменяли ее.",beginner,32,5,20,learning path experiments,Екатерина Белов,AI / ML,AI / ML | Data Science | UX/UI Design,recording,yes,19
#CR00007,Приватный,UX/UI Design,intensive,Accessibility-first Product Design,"Практический курс по доступности, контрасту, ошибкам форм, фокусу и сценариям для разных групп пользователей.","Сможешь проектировать потоки, которые проходят WCAG-проверки и при этом не теряют в конверсии и ясности.",advanced,40,7,35,audit workshops and redesign tasks,Татьяна Степанова,UX/UI Design,UX/UI Design | Frontend | Security,planned,no,9
#CR00008,Приватный,Data Science,education analytics course,Early Warning Analytics in EdTech,"Курс о сигналах риска отчисления, вовлеченности и удержания студентов в цифровом обучении.","Поймешь, как строить predictive retention models и передавать выводы кураторам в полезной форме.",intermediate,24,10,40,student retention modeling,Даниил Егоров,Data Science,Data Science | AI / ML | UX/UI Design,planned,yes,9
#CR00009,Публичный,DevOps,cloud economics course,FinOps Gates in CI/CD,"Курс о том, как встроить cost awareness в delivery pipeline и инженерные решения.","Сможешь оценивать облачные расходы до релиза и строить cost policies, которые не тормозят команды.",advanced,40,9,27,pipeline cost policy projects,Тимур Козлова,DevOps,DevOps | Data Science | Backend,recording,yes,2
#CR00010,Публичный,Frontend,tooling workshop,Frontend QA Overlays,"Курс о браузерных слоях проверки дизайна, accessibility и токенов поверх уже работающего интерфейса.",Сможешь создавать утилиты ревью для продуктовых команд без тяжелого ручного сравнения макетов и верстки.,intermediate,40,6,18,browser extension and overlay labs,Олег Тарасова,Frontend,Frontend | UX/UI Design | Backend,planned,no,21
